Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Strategic Environmental Assessment,University of Exeter,  Opportunity,  Open,  EX4 4QY,"  19 June 2024, 12pm","  £180,000",  20 May 2024
710340458 - High G Centrifuge Test and Training Service Contract - Contracts Finder Opportunity Notice,Ministry of Defence,  Opportunity,  Open,  NG34 8HB,"  21 June 2024, 11:59pm","  £30,000,000 to £40,000,000",  20 May 2024
"Tender for Extension and Improvements at Lord Scudamore Academy, Hereford.",Herefordshire Council,  Opportunity,  Open,  West Midlands,"  14 June 2024, 12pm","  £250,000",  20 May 2024
Part ground Floor Internal Refurbishments & Alterations [WBC],Waverley Borough Council,  Opportunity,  Open,  GU7 1HR,"  19 June 2024, 12pm",  £0,"  20 May 2024, last edited 20 May 2024"
Liberty Primary School ARP Adaptions,London Borough of Merton,  Opportunity,  Open,  England,"  13 June 2024,  5pm",  £0,  20 May 2024
"CPU 4417 Planned and Preventative Maintenance and R & M to Auto Doors, Gates, Roller Shutters & Sliding Partition",Nottingham City Council,  Opportunity,  Open,  East Midlands,"  25 June 2024, 12pm","  £450,000",  20 May 2024
DEFENCE ALCOHOL HARM REDUCTION AND EXPERT ADVICE SERVICE,Ministry of Defence,  Opportunity,  Open,  Any region,"  24 June 2024, 10am","  £250,000",  20 May 2024
SE1161 Place National Evaluation and Learning Partner,Sport England,  Opportunity,  Open,  Any region,"  21 June 2024, 12pm","  £3,400,000",  20 May 2024
Obsolescence Rectification and Re-Design of TMCC with In Service Support,Ministry of Defence,  Opportunity,  Open,  Any region,"  19 June 2024,  5pm","  £14,000,000","  26 June 2023, last edited 20 May 2024"
2023-686 LIDAR Digital Topographic Scanning of Farms in GB,AHDB,  Opportunity,  Open,  CV3 4PE,"  27 June 2024, 12pm",  £0,  20 May 2024
Rough Sleepers Initiative Lot 2 Management of RBK HMO including support & SWEP,The Royal Borough of Kingston upon Thames,  Opportunity,  Open,  England,"  19 June 2024, 12pm","  £543,000",  20 May 2024
Provision of Agency Workers and Recruitment Services,LANCASHIRE RENEWABLES LIMITED,  Opportunity,  Open,  North West,"  30 May 2024, 12pm","  £1,800,000 to £3,600,000","  26 April 2024, last edited 20 May 2024"
British Museum Digital Asset Management System,The Trustees of the British Museum,  Opportunity,  Open,  London,"  21 June 2024,  1pm","  £2,125,000",  20 May 2024
Security Services - Temporary Accommodation,Nottinghamshire County Council,  Opportunity,  Open,  East Midlands,"  20 June 2024, 12pm","  £375,000",  20 May 2024
Provision of Training Services,Pension Protection Fund,  Opportunity,  Open,  CR0 2NA,"  20 June 2024,  5pm",  £0,  20 May 2024
Civic Offices Brickwork and Masonry Repairs & Application of Water Repellent,Swindon Borough Council,  Opportunity,  Open,  South West,"  21 June 2024,  3pm","  £80,000","  20 May 2024, last edited 20 May 2024"
GB-Huddersfield: ITT for the Supply and Installation of an Immersive Simulation Room,University of Huddersfield,  Opportunity,  Open,  Yorkshire and the Humber,"  17 June 2024, 12am","  £50,000 to £100,000",  20 May 2024
"Washroom refurb works, various academies",Harris Federation,  Opportunity,  Open,  CR0 1LH,"  10 June 2024, 12pm","  £260,000",  20 May 2024
Cumberland Council Minor Works Construction Framework,Cumberland Council,  Opportunity,  Open,  England,"   1 July 2024, 10am","  £24,000,000",  20 May 2024
WP4008 - Walsall Creative Commissions,Walsall Council e-Tendering,  Opportunity,  Open,  WS1 1TP,"  18 June 2024, 12pm",  £0,  20 May 2024
Specialist Education Framework Phase 1 - Independent Non-Maintained Special Schools Round 2,Nottinghamshire County Council,  Opportunity,  Open,  East Midlands,"  22 July 2024,  5pm","  £250,000,000",  20 May 2024
The Barn Day Nursery Alteration Works,The Barn Day Nursery,  Opportunity,  Open,  South West,"  24 May 2024,  5pm","  £40,000 to £60,000","  29 April 2024, last edited 20 May 2024"
RA341948 - External Breast Prosthesis,Shropshire Healthcare Procurement Service,  Opportunity,  Open,  SY3 8XQ,"   3 June 2024,  5pm",  £0,  20 May 2024
IPS Expansion,NHS England,  Opportunity,  Open,  LS2 7UE,"  20 June 2024, 12pm","  £26,668,104",  20 May 2024
Cambridgeshire County Council Highways Services Asset Management System,Cambridgeshire County Council,  Opportunity,  Open,  England,"  20 June 2024, 12pm","  £2,250,000",  20 May 2024
Structural refurbishment of High-level balconies,Oxford City Council,  Opportunity,  Open,  OX1 1BX,"  14 June 2024,  5pm",  £0,  20 May 2024
EPP0053 Digital Solutions and Associated Services National Framework Agreement,Braintree District Council,  Opportunity,  Open,  Any region,"  20 June 2024, 12pm","  £2,000,000",  20 May 2024
BISPHAM CAMPUS REFURBISHMENT,BLACKPOOL AND THE FYLDE COLLEGE,  Opportunity,  Open,  FY20HB,"   3 July 2024,  4am","  £200,000",  20 May 2024
Celtic Sea Floating Offshore Wind - Industry Delivery Plans (Anchors & Mooring),CELTIC SEA POWER LIMITED,  Opportunity,  Open,  United Kingdom,"  30 May 2024,  5pm","  £30,000 to £36,000","  18 April 2024, last edited 20 May 2024"
Royal Docks Food and Beverage Strategy,Transport for London,  Future opportunity,  Open,  London,Approach to market date 10 June 2024,"  £140,000",  20 May 2024
Dynamic Purchasing System (DPS) For Learning Disabilities & Mental Health (LDMH),London Borough of Ealing,  Opportunity,  Open,  W5 2HR,"  19 June 2024, 12am","  £1,300,000,000","  20 May 2024, last edited 20 May 2024"
Supply and Installation of Windows and Doors,Plymouth Community Homes,  Opportunity,  Open,  PL6 5DH,"  19 June 2024, 10am","  £0 to £6,650,000",  20 May 2024
Labworth Memorial Gardens/Band Stand Contract,Canvey Island Town Council,  Opportunity,  Open,  SS8 7DN,"  12 July 2024,  5pm",  £1,  20 May 2024
International Security Exhibition (ISE) Stand Build and Design,Home Office,  Opportunity,  Open,  London,"  25 June 2024, 12pm",  £0,  20 May 2024
Provision of Nursery and Daycare Services at DVLA Swansea,DVLA - Driver & Vehicle Licensing Agency,  Future opportunity,  Open,  SA6 7JL,Approach to market date  8 July 2024,"  £1,800,000 to £4,000,000",  20 May 2024
GB-Leicester: Newport Road - The Provision of Conversion Services for Ground-Floor Enhancements and Parking,Stonewater Limited,  Opportunity,  Open,  South East,"  24 June 2024, 12pm","  £50,000 to £100,000",  20 May 2024
DPS,Hyde Housing Association Ltd,  Opportunity,  Open,  Any region,"   9 June 2034, 12am","  £1 to £250,000,000",  20 May 2024
26658 - Evaluation and Social Science Consultant,Plymouth City Council,  Opportunity,  Open,  England,"  20 June 2024, 12pm","  £120,000",  20 May 2024
GB-Leeds: SB717 Fixed Wire Testing,Leeds Beckett University,  Opportunity,  Open,  Yorkshire and the Humber,"  25 June 2024, 12am","  £100,000 to £500,000",  20 May 2024
E2414 Warden Hill Jr Electrical Rewiring/Refurbish,Luton Council,  Opportunity,  Open,  England,"  14 June 2024, 12pm","  £400,000",  20 May 2024
"This opportunity will be visible on the supplier portal. 
      
      Surrey Children's Services Academy (SCSA) is seeking training providers to deliver some of the following courses to Surrey County Council (SCC) employees and staff working for independent social care and partner organisations. In addition, SCSA is looking for the providers to offer the option of updating the SCC materials as needed. There may also be an opportunity to develop or deliver courses on other unspecified topics as needed.",Surrey County Council,  Opportunity,  Open,  RH2 8EF,"  10 June 2024, 12pm","  £35,000",  20 May 2024
New ICT Leisure Management System,London Borough of Lambeth,  Opportunity,  Open,  Any region,"  30 May 2024, 12pm",  £0,  20 May 2024
South Gloucestershire Shared Lives Service,South Gloucestershire Council,  Opportunity,  Open,  BS37 5AF,"  30 June 2024, 11:59pm","  £1,575,000",  20 May 2024
Provision of a Facilities Management Service,CPI (Centre for Process Innovation),  Opportunity,  Open,  TS104RF,"  20 June 2024, 12pm","  £10,000,000 to £15,000,000",  20 May 2024
Contract for the Supply of AutoCAD Licenses,London Borough of Waltham Forest,  Opportunity,  Open,  England,"  28 May 2024, 12pm","  £132,000",  20 May 2024
IT Managed Services Pre Market Engagement,Commonwealth Secretariat,  Early engagement,  Open,  SW1Y 5HX,  20 August 2024,"Publication date 20 May 2024, last edited 20 May 2024",None
Christmas Lighting Services,Canvey Island Town Council,  Opportunity,  Open,  SS8 7RB,"  12 July 2024,  5pm",  £1,  20 May 2024
"Environmental Control (EC) Services for Patients with Complex Disability (Lot 1: Norfolk and Suffolk; Lot 2: Cambridgeshire, Peterborough and Bedfordshire (excluding Luton))",NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  CB21 5XB,"  26 June 2024, 12pm","  £6,881,427",  20 May 2024
RA341934 - Fibreplast and Gel Bolus,Shropshire Healthcare Procurement Service,  Opportunity,  Open,  SY3 8XQ,"   7 June 2024,  5:30pm",  £0,  20 May 2024
Royal Cornwall Museum - Roof Replacement Works (MEND),THE ROYAL INSTITUTION OF CORNWALL,  Opportunity,  Open,  TR1 2SJ,"  31 May 2024,  5pm","  £750,000","  24 April 2024, last edited 20 May 2024"
"Provision of End Point Assessment Services to Service Personnel of the RLC, RA, RE, R Signals, REME and RAF Undertaking the L2 Supply Chain Warehouse Operative, L2 LGV Driver and L2 Express Delivery Operative Apprenticeship Standards",Ministry of Defence,  Opportunity,  Open,  Any region,"  17 June 2024,  5pm","  £11,000,000","  17 May 2024, last edited 20 May 2024"
Senior Youth Worker (18.5 hours pw),Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B70 8SZ,"  23 May 2024,  4pm","  £5,780.88 to £6,620.04",  20 May 2024
Geographical Information System - GIS  (527-AHL),Alliance Homes,  Opportunity,  Open,  BS20 7AW,"  17 June 2024, 10am","  £80,000 to £150,000",  20 May 2024
Educational and Children's Social Care Professionals,Department For Education,  Opportunity,  Open,"  United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","  30 March 2026, 11:59pm","  £6,500,000","  14 February 2019, last edited 20 May 2024"
Contract for the Electrical Repairs to Commercial and Domestic Catering Equipment/Appliances,GATESHEAD COUNCIL,  Opportunity,  Open,  North East,"   3 July 2024, 12pm","  £60,000",  20 May 2024
GB-London: RBGKEW1311 - Rare & Extinct 2024 Exhibition Design & Build,"Royal Botanic Gardens, Kew",  Opportunity,  Open,  London,"   6 June 2024, 12pm","  £50,000 to £100,000",  20 May 2024
Upper Barle River Restoration Feasibility Study,Exmoor National Park Authority,  Opportunity,  Open,  England,"   3 June 2024, 12pm","  £50,000",  20 May 2024
Hospitality & Florist - Vinters Park Crematorium,Maidstone Borough Council,  Early engagement,  Open,  England,  17 June 2024,Publication date 20 May 2024,None
The Handy Person Scheme,Westmorland and Furness Council,  Opportunity,  Open,  England,"  17 June 2024,  2pm","  £225,000",  20 May 2024
X-Ray Diffractometer at Lancaster University,Lancaster University,  Opportunity,  Open,  LA1 4YR,"  17 June 2024, 11am","  £300,000",  20 May 2024
CEFAS24-67 RFQ for provision of Microscope & Peripherals to Sri Lanka under OCPP,Cefas,  Opportunity,  Open,  NR33 0HT,"   7 June 2024, 12pm","  £15,000 to £30,000",  20 May 2024
Energy and Net Zero Professional Services Framework,DESNZ,  Opportunity,  Open,  Any region,"  13 June 2024,  2pm",  £0,"  18 April 2024, last edited 20 May 2024"
Invitation to Tender for Broadband Network Services Framework Agreement,Herts for Learning Limited,  Opportunity,  Open,  SG1 2FQ,"   3 June 2024, 10am",  £0,"   2 May 2024, last edited 20 May 2024"
AMPP289 Re-roofing and Associated Works - Maidensbridge Primary School,Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"   7 June 2024, 12pm",  £0,  20 May 2024
Internal/External Decorating for PHG Properties,Progress Housing Group,  Opportunity,  Open,  England,"   7 June 2024, 12pm","  £1,200,000","   2 May 2024, last edited 20 May 2024"
Flooring Supply and Installation Framework,Great Places Housing Group,  Early engagement,  Open,  England,  13 August 2024,Publication date 20 May 2024,None
Major Building Works DPS,Telford and Wrekin Council,  Opportunity,  Open,  TF3 4JG,"   9 September 2026,  5pm",  £0,"  17 October 2023, last edited 20 May 2024"
Soft Market Test: The provision and maintenance of blinds and curtains across the entire Corporate Estate at Cambridgeshire County Council,Cambridgeshire County Council,  Early engagement,  Open,  PE28 4YE,   7 June 2024,Publication date 20 May 2024,None
Dynamic Purchasing System (DPS) - Fire Safety Services,Acivico Group,  Opportunity,  Open,  B7 4BL,"  13 September 2032, 12pm","  £0.01 to £2,000,000","  13 September 2022, last edited 20 May 2024"
Pharmacy Quality Control Services and Radiopharmacy Quality Control and Quality Assurance Services,United Lincolnshire Hospitals NHS Trust,  Opportunity,  Open,  LN2 5QY,"  20 June 2024, 12pm","  £306,000 to £510,000",  20 May 2024
Child Health Clinical Outcome Review Programme,Healthcare Quality Improvement Partnership (HQIP),  Opportunity,  Open,  Any region,"  20 June 2024, 12pm","  £3,745,454",  20 May 2024
Marlow Education Trust ~ Catering Tender,Marlow Education Trust,  Opportunity,  Open,  South East,"  21 June 2024, 12pm","  £1,700,000","  15 May 2024, last edited 20 May 2024"
"Provision of Fruit, Vegetables, Salads & Herbs",County Durham and Darlington NHS Foundation Trust,  Opportunity,  Open,  North East,"  20 June 2024, 12pm","  £350,000",  20 May 2024
GB-Kings Lynn: Dog Collection and Kennelling services in West Norfolk,Borough Council of Kings Lynn and West Norfolk,  Opportunity,  Open,  East of England,"  17 June 2024, 12pm","  £50,000 to £100,000",  20 May 2024
"GB-London: Embedding Diversity, Equity and Inclusion at Imperial War Museums (IWM)",Imperial War Museum,  Opportunity,  Open,  Any region,"  17 June 2024, 12pm","  £100,000 to £500,000",  20 May 2024
Adult Skills Fund,Sunderland City Council,  Opportunity,  Open,  England,"  17 June 2024, 12pm",  £0,  20 May 2024
The Supply of Operational Ration Heater Systems,Leidos Supply,  Opportunity,  Open,  Any region,"  12 June 2024, 12pm","  £2,000,000 to £5,000,000","   7 May 2024, last edited 19 May 2024"
Nuclear magnetic resonance (NMR) probe,University of Northumbria at Newcastle,  Opportunity,  Open,  North East,"  30 May 2024, 12am","  £40,000",  19 May 2024
GHFT Pathology Managed Service,Gloucestershire NHS Foundation Trust,  Early engagement,  Open,  GL1 2EL,  18 June 2024,Publication date 18 May 2024,None
Area 2 - A170 Sutton Bank 2023 Rock Face Maintenance,The North Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  10 July 2024, 12pm","  £30,000",  17 May 2024
Construction Project Management Services - Employers Agent,London Borough of Haringey,  Opportunity,  Open,  United Kingdom,"  13 June 2024,  2pm","  £500,000",  17 May 2024
"Mechanical Water Services - Pumps, Boosters, Greywater Harvesting",Clarion Housing Group Limited,  Opportunity,  Open,  East of England,"  17 June 2024,  2pm","  £15,000,000",  17 May 2024
Living Well VCSE Service - Derby City,NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  DE1 3QT,"  17 June 2024,  2pm","  £2,750,000",  17 May 2024
RA341910 - Cleanroom Clothing & Laundry Service,Shropshire Healthcare Procurement Service,  Opportunity,  Open,  SY3 8XQ,"  31 May 2024,  5:30pm",  £0,  17 May 2024
External Audit Services Tender,South Lakes Housing,  Opportunity,  Open,  North West,"   1 July 2024, 12pm",  £0,  17 May 2024
Grounds Maintenance 2024,English Rural Housing Association,  Opportunity,  Open,"  East of England, South East, South West","  19 June 2024, 12pm",  £0,  17 May 2024
